datamov 0.56
./cfi-ms-vbase-derived-cast.cpp 77
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.31
datamov 0.55
./main-norecurse.cpp 12
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.25
datamov 0.58
./array-operator-delete-call.cpp 543
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.35
datamov 0.49
./switch-case-folding-1.cpp 555
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.33
datamov 0.50
./attr-cleanup.cpp 19
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.21
bit 0.00
logical 0.00
arith 0.32
datamov 0.47
./switch-case-folding.cpp 539
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.33
datamov 0.50
./regcall.cpp 39
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.28
datamov 0.56
./2009-03-17-dbg.cpp 21
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.19
bit 0.00
logical 0.00
arith 0.38
datamov 0.43
./call-arg-zero-temp.cpp 36
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.26
datamov 0.60
./2010-06-22-BitfieldInit.cpp 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./microsoft-abi-byval-sret.cpp 222
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.22
bit 0.00
logical 0.00
arith 0.33
datamov 0.45
./pr18635.cpp 35
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.28
datamov 0.56
./PR28523.cpp 53
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.28
datamov 0.57
./default_calling_conv.cpp 9
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.22
bit 0.00
logical 0.00
arith 0.33
datamov 0.44
./mangle-mingw.cpp 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./microsoft-abi-try-throw.cpp 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
