segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 6
0 0 0 1 0 0 0 0 0 0 5 0 3 0 4 3 14
0 0 0 1 0 0 0 0 0 0 28 11 37 0 4 67 212
0 0 0 1 0 0 0 0 0 0 8 4 26 0 1 28 65
0 0 0 1 0 0 0 0 0 0 6 1 2 0 2 4 20
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 14 14
0 0 0 1 0 0 0 0 0 0 6 0 3 0 2 8 33
0 0 0 1 0 0 0 0 0 0 37 32 129 0 64 34 207
0 0 0 1 0 0 4 0 0 0 4 0 1 0 16 38 138
0 0 0 1 0 0 0 0 0 0 4 0 1 0 24 38 148
0 0 0 1 0 0 0 0 0 0 4 0 1 0 24 38 148
0 0 0 1 0 0 0 0 0 0 25 20 17 0 16 22 119
0 0 0 1 0 0 0 0 0 0 7 1 5 0 5 11 49
0 0 0 1 0 0 0 0 0 0 6 1 3 0 0 5 10
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 8 14
0 0 0 1 0 0 0 0 0 0 10 0 10 0 9 20 125
0 0 0 1 0 0 0 0 0 0 5 0 1 0 2 3 11
0 0 0 1 0 0 0 0 0 0 7 1 1 0 2 3 17
0 0 0 1 0 0 0 0 0 0 6 1 2 0 0 3 5
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 4 12
0 0 0 1 0 0 0 0 0 0 7 1 1 0 0 7 27
0 0 0 1 0 0 0 0 0 0 204 0 133 0 100 2 314
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 3 9
0 0 0 1 0 0 0 0 0 0 5 0 3 0 1 5 4
0 0 0 1 0 0 0 0 0 0 7 0 3 0 0 3 7
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 24
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 2 6
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 8 16
0 0 0 154 0 0 0 0 0 0 4 0 19 0 17 51 172
0 0 0 1 0 0 0 0 0 0 5 1 2 0 4 6 34
0 0 0 1 0 0 0 0 0 0 7 2 1 0 3 8 35
0 0 0 1 0 0 0 0 0 0 6 0 3 0 1 5 27
0 0 0 1 0 0 0 0 0 0 6 1 1 0 1 8 19
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 6 28
0 0 0 1 0 0 0 0 0 0 11 2 14 0 1 15 52
0 0 0 1 0 0 0 0 0 0 6 0 3 0 2 6 13
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 6 14
0 0 0 1 0 0 0 0 0 0 5 1 135 0 0 5 841
0 0 0 1 0 0 0 0 0 0 6 1 2 0 0 4 12
0 0 0 1 0 0 0 0 0 0 8 0 1 0 1 5 27
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 4 4
0 0 0 1 0 0 0 0 0 0 5 1 2 0 1 6 15
0 0 0 1 0 0 0 0 0 0 6 1 2 0 4 8 25
0 0 0 1 0 0 0 0 0 0 5 0 11 0 2 21 34
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 3 4
0 0 0 1 0 0 0 0 0 0 9 0 1 0 0 14 44
0 0 0 1 0 0 0 0 0 0 10 0 2 0 6 5 17
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 3 7
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 5
0 0 0 1 0 0 0 0 0 0 8 1 2 0 0 4 11
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 5 7
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 15
0 0 0 12 0 0 0 0 0 0 4 0 1 0 2 6 23
0 0 0 1 0 0 0 0 0 0 6 1 1 0 1 3 20
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 4 7
0 0 0 1 0 0 0 0 0 0 8 0 1 0 0 4 30
0 0 0 1 0 0 0 0 0 0 13 5 1 0 1 27 89
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 4
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 8 1 2 0 1 3 11
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 2 4
0 0 0 1 0 0 0 0 0 0 4 0 33 0 0 12 14
0 0 0 1 0 0 0 0 0 0 9 0 1 0 23 29 38
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 17
0 0 0 1 0 0 0 0 0 0 8 0 1 0 1 12 50
0 0 0 1 0 0 0 0 0 0 22 0 3 0 1 9 111
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 4
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 2 13
0 0 0 1 0 0 0 0 0 0 7 2 1 0 19 8 40
0 0 0 1 0 0 0 0 0 0 8 0 2 0 2 3 25
0 0 0 1 0 0 0 0 0 0 9 0 1 0 4 19 67
0 0 0 1 0 0 0 0 0 0 7 1 1 0 0 2 5
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 7
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 4 11
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 4 16
0 0 0 1 0 0 0 0 0 0 5 0 2 0 0 5 4
0 0 0 1 0 0 0 0 0 0 5 1 1 0 0 6 11
0 0 0 1 0 0 0 0 0 0 4 0 2 0 1 2 9
0 0 0 1 0 0 0 0 0 0 7 2 1 0 2 4 15
0 0 0 1 0 0 0 0 0 0 6 0 38 0 1 3 122
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 6 33
0 0 0 1 0 0 0 0 0 0 6 1 1031 0 1 274 1066
0 0 0 1 0 0 0 0 0 0 4 0 4 0 5 2 11
0 0 0 1 0 0 0 0 0 0 6 1 21 0 1 55 94
0 0 0 1 0 0 0 0 0 0 9 0 1 0 0 4 9
0 0 0 1 0 0 0 0 0 0 6 0 2 0 1 5 27
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 14 26
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 12
0 0 0 1 0 0 0 0 0 0 7 2 3 0 0 4 8
0 0 0 1 0 0 0 0 0 0 7 1 1 0 3 9 40
0 0 0 1 0 0 0 0 0 0 7 0 29 0 0 42 77
0 0 0 1 0 0 0 0 0 0 4 0 1 0 9 2 9
0 0 0 1 0 0 0 0 0 0 5 1 1 0 3 3 9
0 0 0 1 0 0 0 0 0 0 6 1 5 0 2 10 28
