control branch bit logical arith datamov
0 83 11 142 144 1358 
0 4 1 2 23 112 
0 84 59 37 290 703 
0 1 0 0 0 0 
0 5 1 9 26 123 
0 10 17 0 18 512 
0 118 0 116 242 1333 
0 31 5 22 452 1437 
0 2 0 0 0 38 
0 3 0 0 0 23 
0 4 0 2 0 34 
0 1 0 0 0 0 
0 5 84 16 2 99 
0 5 84 14 2 97 
0 27 4 7 84 626 
0 14 2 3 12 160 
0 5 0 4 1 36 
0 17 5 4 3 218 
0 18 5 4 11 266 
0 5 2 1 0 89 
0 85 0 0 2 1340 
0 640 1140 695 3948 1818 
0 773 0 0 640 4246 
0 10 0 7 0 174 
0 8 1 6 3 140 
0 7 2 5 2 74 
0 4 0 0 0 58 
0 6 1 0 4 68 
0 1 1 1 6 38 
0 9 2 4 28 74 
0 11 0 0 0 172 
0 21 5 6 2 211 
0 3 2 2 0 50 
0 3 2 2 0 40 
0 3 2 2 2 72 
0 1 0 0 0 20 
0 5 1 1 0 56 
0 117 69 78 290 754 
0 40 0 50 20 474 
0 3 0 0 0 8 
0 2 2 2 0 50 
0 9 11 5 98 310 
0 4 1 0 0 42 
0 18 2 3 22 108 
0 18 1 126 681 1398 
0 448 46 92 758 1010 
0 7 3 4 0 70 
0 13 0 11 19 140 
0 3 3 6 70 244 
0 6 0 4 0 32 
1 7 7 3 28 352 
0 2 0 1 3 27 
0 12 2 2 0 162 
0 13 0 0 9 109 
0 14 15 450 800 4041 
4 14 0 0 0 134 
0 14 0 0 0 118 
0 3 0 0 0 12 
0 15 2 60 312 600 
0 3 0 0 0 21 
0 3 1 1 0 30 
0 26 1 0 360 338 
0 7 0 4 8 35 
0 3 0 3 0 34 
0 3 1 0 0 48 
0 7 3 34 12 173 
0 6 0 0 0 114 
0 7 1 3 10 40 
0 4 1 3 0 50 
0 5 0 0 0 42 
0 2 0 0 0 6 
0 3 3 1 0 53 
0 4 0 0 0 24 
0 2 2 1 0 48 
0 2 0 0 0 6 
0 19 2 0 62 342 
0 15 31 43 53 509 
0 5 24 41 39 311 
0 4 4 0 10 70 
